股票代码,股票名称,股票上市日期,股票上市地点,股票所属行业,每股收益,每股净资产,净资产收益率,总资产收益率,毛利率,净利率,营业利润率,市盈率（静）,市盈率（TTM）,市净率,市销率,股息率,营业收入增长率,净利润增长率,净资产增长率,净利润增速,资产负债率,流动比率,总资产周转率,存货周转率,应收账款周转率,每股经营现金流,现金流量比率
300693,盛弘股份,,深圳,,3691,8.52,1089,,-4.7878581828,-12.911918652662,39.0036091443,2720,2877,631,781,50.1202184848,3.571322812517,8513,20170822,8513,11667284197.9,312795823.0,11.3726570392,4475,1871,,
300694,蠡湖股份,,深圳,,10639,0.5,1,,-20.2480045271,-70.339680621701,14.7631220877,5332,7587,216,367,30.6734004888,1.953922356805,-1511,20181015,-1511,2960608433.75,215316977.0,2.1151612303,2217,721,,
300695,兆丰股份,,深圳,,8856,1.22,1,,3.8770733039,20.324502857075,28.8661357397,7979,7687,432,199,13.4171708908,11.529632520043,-2093,20170908,-2093,11144982146.76,102256924.0,20.5215932696,11770,2218,,
300696,爱乐达,,深圳,,65751,0.17,1089,,55.002941755,152.247690387871,22.333583734,-33297,-52761,452,1226,12.0338527287,2.104164035438,-475,20170822,-475,8305024008.389999,293152983.0,2.8328546968,3501,1133,,
300697,电工合金,,深圳,,4170,7.02,1,,16.3079201223,23.310896490236,11.5339028862,5254,4695,591,636,41.7339604318,0.998979282267,403,20170907,403,6865996800.0,432640000.0,5.7881734366,1790,682,,
300698,万马科技,,深圳,,19911,3.36,1025,,50.9117660798,3.064450458868,31.3924474933,15873,15687,1315,937,54.8914431377,1.456607336791,-871,20170831,-871,6556620000.0,134000000.0,4.7223985309000005,5769,2900,,
300699,光威复材,,深圳,,5015,4.76,1089,,3.8676381762,-26.850347499862,42.4906732696,3646,4208,503,254,33.4758876302,3.849999779143,-3406,20170901,-3406,27027253520.0,831352000.0,22.1252627732,3937,2496,,
300700,岱勒新材,,深圳,,-4284,-7.27,65,,1.7950480499,-60.457950955367,-9.02090901,-2364,-2141,643,1560,47.8207483832,-0.228430271221,-4792,20170912,-4792,5758509174.42,396046023.0,-34.2533651125,1493,541,,
300701,森霸传感,,深圳,,12477,0.77,1,,-5.1310435352,-40.584480394789,36.2801180087,9247,10587,397,1692,9.7865903684,1.50964276585,3228,20170915,3228,3644455683.91,282735119.0,10.2855256494,1354,691,,
300702,天宇股份,,深圳,,3233,4.18,1025,,23.8681678485,180.956841441884,38.2345676664,17282,6350,266,481,44.0414010952,5.177216793416,4764,20170919,4764,9666805477.02,347977159.0,9.5386463473,3120,1350,,
300703,创源股份,,深圳,,7557,2.28,1,,39.9969586234,218.33300079594,35.438444977,5743,5081,704,632,45.7830392869,2.045249686793,-3190,20170919,-3190,6198263622.4,180391840.0,6.16588102,3853,678,,
300705,九典制药,,深圳,,1655,11.12,1025,,10.6690353911,2.566679941186,74.5798016056,1882,1856,379,704,26.6613830901,2.769738355143,-1603,20171010,-1603,9644094204.4,500212355.0,19.2746654706,2844,1410,,
300706,阿石创,,深圳,,-45837,-0.51,1,,12.0079587394,-15.777231530316,5.7529634613,-26851,-26326,938,1232,60.9516270767,0.782158705018,-2309,20170926,-2309,6802990155.599999,153220499.0,-1.420528062,5298,1660,,
300707,威唐工业,,深圳,,-7588,-0.77,1,,-46.2644180872,-140.724479145492,19.1717132223,13335,-25735,253,613,38.7277492978,1.90886847547,4612,20171010,4612,2782269139.2,176539920.0,-7.2909958656,2011,972,,
300708,聚灿光电,,深圳,,3895,4.31,1025,,19.5065646386,3.433970925686,13.7588376478,4659,4568,331,625,42.6062962246,0.476639336348,-2524,20171016,-2524,9112169614.52,971446654.0,7.3378961836,1066,524,,
300709,精研科技,,深圳,,-14148,-0.81,1089,,20.661487791,35.448702628182,22.8491812029,8273,7658,467,1693,35.7907577908,3.18547215919,7752,20171019,7752,9901140196.01,186076681.0,-4.121417070100001,5493,2587,,
300710,万隆光电,,深圳,,-14108,-0.8,1,,-33.4913242517,-159.681334478548,29.5666200258,-1060,-1010,449,415,22.4828516807,0.139147756917,3152,20171019,3152,2114168875.0,99490300.0,-6.1941430673,2374,1379,,
300711,广哈通信,,深圳,,12522,3.22,1025,,27.7994524898,69.507784205792,53.3262658118,8284,7294,839,376,34.3856848866,1.156305435722,-777,20171101,-777,6119630083.36,249170606.0,16.3089521556,3082,1293,,
300712,永福股份,,深圳,,6525,1.56,1089,,-1.8261372523,4.791281233256,19.5974767019,13744,13421,392,259,69.6062526382,2.44824208579,1735,20171031,1735,4988724531.0,187546035.0,2.9188522963,3695,1777,,
300713,英可瑞,,深圳,,-6042,-4.76,1,,66.7691422599,11.195906138435,21.5176094751,-3479,-3610,589,599,48.7248860454,-0.079778555188,175,20171101,175,3118863916.5,158720810.0,-14.2983638491,2330,1158,,
300715,凯伦股份,,深圳,,8422,1.43,1,,-5.9194034194,232.482250584408,22.7526366213,-807,-835,234,520,64.5512909659,-1.252438650544,1690,20171026,1690,4347637445.0,378055430.0,3.6906810426,1336,567,,
300716,ST泉为,,深圳,,-2096,-150.24,4,,-68.275328512,21.730373784104,-31.6387316155,-1300,-1423,7359,290,104.3816661108,-4.090656880515,4540,20171109,4540,1542592800.0,160020000.0,-155.05701027479998,1764,541,,
300717,华信新材,,深圳,,4064,3.98,1,,11.176799716,5.032546060767,30.9690640472,4570,4450,325,505,26.8130741945,3.163910543225,-726,20171106,-726,2312437500.0,102775000.0,16.075918027100002,2785,1185,,
300718,长盛轴承,,深圳,,13553,3.21,1089,,2.178025379,1.542388527274,32.9073147185,12550,12506,1809,743,13.0403453943,2.530122639731,-3887,20171106,-3887,28751506056.9,298779030.0,19.2938071922,11777,1235,,
300719,安达维尔,,深圳,,-15152,-0.78,1,,27.4580600937,-248.717065919906,38.2972191561,35522,1794922,478,668,38.3516699548,1.019153847455,3493,20171109,3493,4911668538.0,254227150.0,-7.061410264699999,2715,1302,,
300720,海川智能,,深圳,,17407,1.23,1,,4.9294113802,31.849646994296,50.5406015825,10610,10233,897,439,7.719768532,1.243307593884,3115,20171106,3115,5074603746.24,194877256.0,15.8934174708,2935,1157,,
300721,怡达股份,,深圳,,-2021,-5.16,1,,-20.8150514521,-599.259876002746,-2.6895636087,26699,-3853,221,555,54.9055071815,1.697700312956,-7213,20171115,-7213,2545233650.16,164846739.0,-10.9977433336,2085,1009,,
