股票代码,股票名称,股票上市日期,股票上市地点,股票所属行业,每股收益,每股净资产,净资产收益率,总资产收益率,毛利率,净利率,营业利润率,市盈率（静）,市盈率（TTM）,市净率,市销率,股息率,营业收入增长率,净利润增长率,净资产增长率,净利润增速,资产负债率,流动比率,总资产周转率,存货周转率,应收账款周转率,每股经营现金流,现金流量比率
000157,中联重科,,深圳,,1174,2.44,1089,,2.9198732269,53.982232899859,28.6745132033,1882,1650,119,149,53.0770515103,2.924527275776,-2924,20001012,-2924,66247779907.76,8648535236.0,12.5116983525,830,542,,
000158,常山北明,,深圳,,-22408,-1.75,1089,,30.770415491,63.394075194157,10.9908068213,-7022,-9638,790,1085,69.618824146,0.314031072674,4873,20000724,4873,41675937916.47,1598616721.0,-2.5320652175,3988,670,,
000159,国际实业,,深圳,,5832,1.22,65,,-49.9611349135,17.164792759563,11.0758434806,-658,-664,141,415,41.807460715,2.439288726705,-3681,20000926,-3681,2888922817.93,480685993.0,2.6129064811,922,421,,
000166,申万宏源,,深圳,,1814,1.87,1089,,-3.5367760275,42.498410109715,0.0,2754,2474,136,80,79.8246513822,1.376651926532,-4429,20150126,-4429,143478882328.80002,25039944560.0,41.0051716539,638,410,,
000301,东方盛虹,,深圳,,4656,1.0,132161,,-17.5005618421,38.186291030537,9.8918093588,-2766,-2885,189,34,82.1691184484,0.572463260764,-5386,20000529,-5386,63533900830.14,6611227974.0,1.151769415,1047,693,,
000333,美的集团,,深圳,,1136,5.56,1089,,20.6091036529,38.024703758564,25.4471362931,1464,1345,275,101,61.9356896009,18.425272715374,4686,20130918,4686,564309242405.44,7675588172.0,9.970309579099998,8019,5622,,
000338,潍柴动力,,深圳,,1268,3.08,1089,,1.9220380991,4.266107792146,22.2275993372,1205,1194,159,167,64.5953458251,6.831300993134,-5765,20070430,-5765,137446136337.91998,8715671296.0,4.9103615407,1736,1092,,
000400,许继电气,,深圳,,1901,5.49,1089,,-5.6816564571,0.964733058355,23.7510996065,2158,2146,204,352,50.4754763666,9.461755290683,724,19970418,724,24103608650.94,1018749309.0,11.006027369,3718,2005,,
000401,冀东水泥,,深圳,,-392,-3.24,1089,,16.8223213663,19.911104188286,8.4580215404,-1381,-1769,52,89,51.9378298461,2.132755662017,-2307,19960614,-2307,13689813625.7,2658216238.0,-23.847182922,623,406,,
000402,金 融 街,,深圳,,-469,-4.13,1089,,-51.7865486711,49.201136920131,11.5471060505,-85,-93,40,319,77.0767981709,3.906307132491,-3012,19960626,-3012,9445018506.12,2988929907.0,-23.7723482232,471,205,,
000403,派林生物,,深圳,,3670,2.93,1089,,-13.1754363828,-27.888637143534,47.62763494,2322,2646,219,229,13.0350930468,2.371269763572,1819,19960628,1819,17306736399.06,950397386.0,23.9149725491,2058,1458,,
000404,长虹华意,,深圳,,1031,6.21,1089,,-1.5181637303,13.416797559544,12.685004702,1178,1103,127,243,64.678308615,2.475376737112,-2450,19960619,-2450,5303489359.9800005,695995979.0,5.3411725745,782,544,,
000407,胜利股份,,深圳,,1796,2.96,1,,-1.6437349767,7.774277809498,15.5207094805,2710,2570,105,258,46.6810242251,1.017364166613,-1889,19960703,-1889,3177105608.16,880084656.0,5.1838555082,388,256,,
000408,藏格矿业,,深圳,,2213,12.27,1089,,-4.7407672623,38.798288887157,56.6594712525,3088,2584,507,107,7.033524836,7.30876804575,-2168,19960628,-2168,79673254301.3,1570225745.0,106.9770932147,5205,2265,,
000409,云鼎科技,,深圳,,7078,2.06,1025,,-20.546563387,-33.239127946547,26.8625908483,9606,11558,576,723,31.839818202,-0.473214296858,3540,19960627,3540,8908795235.7,677990505.0,10.3939080177,1680,691,,
000410,沈阳机床,,深圳,,-12864,-3.07,1089,,0.4557276863,21.700540041855,8.9570619445,231878,103106,596,160,70.043322326,-2.84042088706,-5406,19960718,-5406,16371256102.8,2358970620.0,-8.2129604098,911,588,,
000411,英特集团,,深圳,,1473,2.15,1025,,-1.8724990514,-5.700459006272,6.0028228519,1130,1143,133,183,67.3793825812,3.60312649387,-313,19960716,-313,5939136752.42,521892509.0,1.411920422,1190,844,,
000415,渤海租赁,,深圳,,857,2.12,1089,,99.823724983,72.213446666632,24.7477335689,2538,1937,72,375,83.4904682762,0.655570708731,-7688,19960716,-7688,22944573956.22,6184521282.0,5.9185136371,518,206,,
000417,合百集团,,深圳,,1406,3.57,65,,0.0153645371,-9.931391020257,25.0646377815,2521,2797,100,474,53.0093319044,3.215523803765,518,19960812,518,4804086672.0,779884200.0,5.6322479873,737,389,,
000419,通程控股,,深圳,,1958,2.36,1,,15.5833713373,-26.856478124152,22.2313751828,2171,2725,90,341,33.0312968635,2.724063549563,-5750,19960816,-5750,3261495930.0,543582655.0,9.6900566033,678,402,,
000420,吉林化纤,,深圳,,33301,0.17,1089,,32.3949118888,-60.589514594628,12.2425992213,39750,73443,250,577,62.702513217,-0.243249634004,2796,19960802,2796,11015730176.64,2458868343.0,0.5755989401,513,268,,
000421,南京公用,,深圳,,6160,1.15,1,,16.067659548,276.937856694035,14.1759925056,8393,4062,142,196,69.0771397707,2.657233387082,-582,19960806,-582,3854329575.14,574415734.0,1.7509725688000002,862,432,,
000422,湖北宜化,,深圳,,1912,7.29,1089,,-8.9823445343,-43.920243384637,18.7825665778,2337,4483,278,433,75.6149914096,0.163931210326,-1392,19960815,-1392,15250196190.12,1088522212.0,6.2771639913,1630,1038,,
000423,东阿阿胶,,深圳,,2065,7.73,1089,,11.0176147832,10.73891819998,73.1251792726,2169,2063,327,259,19.1698934973,13.793115147076,6734,19960729,6734,33763704882.32,643976824.0,26.8044977117,6643,4335,,
000425,徐工机械,,深圳,,1319,3.35,1089,,10.9223191916,26.368345810898,22.0715994985,1786,1668,180,121,63.5702880577,2.496433719311,-3618,19960828,-3618,106716990136.56,11752972482.0,7.5733728511,960,578,,
000426,兴业银锡,,深圳,,2438,4.63,1089,,50.3746332727,63.224754333096,55.5658699374,2386,2180,448,365,42.3425993979,2.035345353628,-3151,19960828,-3151,36507070793.84,1775635739.0,31.8569390771,2095,943,,
000428,华天酒店,,深圳,,-1491,-4.12,65,,-14.7123770824,-35.263226916245,2.7362855196,-2086,-1911,254,472,78.8772818105,-1.110356334964,-3144,19960808,-3144,3780215460.0,1018926000.0,-64.9110059758,429,273,,
000429,粤高速Ａ,,深圳,,965,6.1,1089,,-6.6294968944,56.280807224317,67.7465432261,1625,1411,254,63,40.3198119339,2.443261619839,1160,19980220,1160,25382386369.64,2090806126.0,84.3885279125,1446,995,,
000430,ST张家界,,深圳,,-2452,-11.4,4,,0.6390612414,32.774963473783,-5.4147816563,-526,-541,1185,227,87.5504756497,-2.619465872052,-4779,19960829,-4779,3064469883.02,404817686.0,-52.971453123,1009,521,,
000488,ST晨鸣,,深圳,,-118,-17.22,4,,-88.2108265567,-2594.37952353336,-131.920297198,-92,-77,89,283,82.2820238521,-0.286870190268,2069,20001120,2069,6853592946.0,2941456200.0,-206.9155396035,457,165,,
000498,山东路桥,,深圳,,946,0.96,1089,,1.950281641,1.892201223075,11.4547044518,406,406,63,133,77.9268063611,7.498301520243,-2099,19970609,-2099,9438829782.72,1552439109.0,3.1226326847,690,453,,
000501,武商集团,,深圳,,1535,1.29,1089,,-8.6205119666,2.851526963577,48.6516040078,4052,3979,80,478,63.3550865669,8.802784268776,4195,19921120,4195,8751137278.78,768992731.0,7.958975837100001,1299,646,,
000503,国新健康,,深圳,,-6018,-3.3,1089,,5.3264168082,-12.864098123287,-14.7863089167,-105741,-70462,807,243,31.7531826004,-0.223169047993,124,19921130,124,10971074107.76,981312532.0,-90.3082876185,1735,660,,
000504,*ST生物,,深圳,,-36444,-0.94,4,,-13.5531612539,19.923865038441,64.9628738785,-16297,-16763,1377,140,54.2721247553,-1.676140724035,-268,19921208,-268,3234226360.4,330023098.0,-29.0468658474,1254,543,,
000505,京粮控股,,深圳,,9594,0.41,65,,-41.2939525824,-43.441319474386,6.6779142237,18918,30444,157,232,51.0301389436,0.817482755391,2519,19921221,2519,4943261706.8,726950251.0,0.6250951069,813,493,,
