股票代码,股票名称,peTTM,pctChg
sh.600600,青岛啤酒,21.157148,0.6698
sh.600601,方正科技,97.269091,-1.3072
sh.600602,云赛智联,163.163926,-2.0833
sh.600603,ST广物,17.729382,-1.9405
sh.600604,市北高新,200.434501,-2.3529
sh.600605,汇通能源,84.431231,-2.2017
sh.600606,绿地控股,-1.787618,-0.4926
sh.600608,*ST沪科,-222.421024,0.2558
sh.600609,金杯汽车,17.201499,-1.1696
sh.600610,中毅达,1357.538139,-1.1619
sh.600611,大众交通,95.238534,-2.3148
sh.600612,老凤祥,14.226446,0.2092
sh.600613,神奇制药,60.132191,0.5722
sh.600615,鑫源智造,215.552002,-0.2357
sh.600616,金枫酒业,643.18264,0.0
sh.600617,国新能源,-15.824044,0.3546
sh.600618,氯碱化工,14.981805,0.6737
sh.600619,海立股份,309.096309,-5.7647
sh.600620,天宸股份,77.89968,-1.1041
sh.600621,华鑫股份,37.823742,-1.9243
sh.600622,光大嘉宝,-3.392097,-3.4056
sh.600623,华谊集团,19.972121,1.3033
sh.600624,复旦复华,-37.454439,-1.1019
sh.600626,申达股份,330.297944,-0.7634
sh.600628,新世界,81.101155,0.6553
sh.600629,华建集团,30.032661,-2.7872
sh.600630,龙头股份,93.984123,0.9259
sh.600633,浙数文化,31.881565,-0.7102
sh.600635,大众公用,31.328181,0.0
sh.600636,*ST国化,-9.319939,-0.5938
sh.600637,东方明珠,39.335723,-0.2541
sh.600638,新黄浦,26.018854,-0.6601
sh.600639,浦东金桥,14.055666,-0.4533
sh.600640,国脉文化,642.894008,-0.4706
sh.600641,万业企业,133.20534,-1.6567
sh.600642,申能股份,10.559838,-0.122
sh.600643,爱建集团,-17.730593,-1.44
sh.600644,乐山电力,383.071953,-1.6095
sh.600645,中源协和,144.150659,-0.8391
sh.600648,外高桥,16.137296,-0.3524
sh.600649,城投控股,42.116629,-1.9523
sh.600650,锦江在线,54.07913,-3.3643
sh.600651,飞乐音响,487.919187,10.0386
sh.600653,申华控股,70.088227,0.5181
sh.600654,中安科,988.201435,0.0
sh.600655,豫园股份,-7209.519591,0.3448
sh.600657,信达地产,-14.266561,-2.6829
sh.600658,电子城,-3.158104,2.0964
sh.600660,福耀玻璃,17.809975,0.9449
sh.600661,昂立教育,-69.741282,-0.4437
sh.600662,外服控股,12.062927,0.5172
sh.600663,陆家嘴,31.494755,-4.7619
sh.600664,哈药股份,15.451107,0.7407
